"Fundamental + Harmonic distortion components"					
"Woofer"		"Tweeter"		"Port"	
"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"
187.134	106.502	667.236	92.0492	187.134	93.6407
187.5	106.498	667.603	92.05	187.5	93.6106
187.866	106.493	667.969	92.0509	187.866	93.5784
188.232	106.488	668.335	92.0519	188.232	93.5442
188.599	106.483	668.701	92.053	188.599	93.5078
188.965	106.477	669.067	92.0542	188.965	93.4693
189.331	106.47	669.434	92.0556	189.331	93.4288
189.697	106.463	669.8	92.0571	189.697	93.3862
190.063	106.456	670.166	92.0588	190.063	93.3416
190.43	106.448	670.532	92.0608	190.43	93.2951
190.796	106.44	670.898	92.0629	190.796	93.2469
191.162	106.432	671.265	92.0653	191.162	93.197
191.528	106.423	671.631	92.0665	191.528	93.1457
191.895	106.414	671.997	92.069	191.895	93.0931
192.261	106.405	672.363	92.0717	192.261	93.0394
192.627	106.396	672.729	92.0747	192.627	92.9849
192.993	106.387	673.096	92.0779	192.993	92.9297
193.359	106.378	673.462	92.0814	193.359	92.8741
193.726	106.369	673.828	92.0851	193.726	92.8183
194.092	106.359	674.194	92.0891	194.092	92.7627
194.458	106.351	674.561	92.0933	194.458	92.7074
194.824	106.342	674.927	92.0977	194.824	92.6527
195.19	106.333	675.293	92.1024	195.19	92.5988
195.557	106.325	675.659	92.1071	195.557	92.546
195.923	106.317	676.025	92.112	195.923	92.4944
196.289	106.309	676.392	92.1171	196.289	92.4442
196.655	106.302	676.758	92.1222	196.655	92.3955
197.021	106.295	677.124	92.1273	197.021	92.3485
197.388	106.289	677.49	92.1324	197.388	92.3033
197.754	106.283	677.856	92.1376	197.754	92.2599
198.12	106.277	678.223	92.1427	198.12	92.2183
198.486	106.272	678.589	92.1477	198.486	92.1785
198.853	106.267	678.955	92.1525	198.853	92.1404
199.219	106.261	679.321	92.1573	199.219	92.0893
199.585	106.257	679.688	92.1619	199.585	92.0548
199.951	106.253	680.054	92.1664	199.951	92.0216
200.317	106.25	680.42	92.1706	200.317	91.9895
200.684	106.246	680.786	92.1747	200.684	91.9583
201.05	106.243	681.152	92.1799	201.05	91.9278
201.416	106.24	681.519	92.1837	201.416	91.8978
201.782	106.238	681.885	92.1874	201.782	91.8681
