* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 4-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
3517.321289	81.793701	-7.8618
3542.809326	81.881081	-7.9944
3568.481934	81.968636	-8.2078
3594.340576	82.017807	-8.5089
3620.386719	82.055832	-8.8315
3646.621582	82.094170	-9.0792
3673.046387	82.142731	-9.3475
3699.662842	82.226768	-9.7006
3726.472168	82.311638	-10.1407
3753.475586	82.368355	-10.7246
3780.675049	82.403893	-11.3531
3808.071289	82.409760	-11.9440
3835.666016	82.404045	-12.5015
3863.460938	82.403999	-12.9907
3891.457275	82.403999	-13.4478
3919.656250	82.403999	-13.8926
3948.059814	82.404007	-14.3398
3976.668945	82.409431	-14.8274
4005.485596	82.404076	-15.3066
4034.510986	82.366165	-15.7561
4063.746582	82.317253	-16.1314
4093.194336	82.268295	-16.3569
4122.855469	82.230141	-16.5044
4152.730957	82.224556	-16.6209
4182.823730	82.229965	-16.7067
4213.133789	82.219147	-16.7463
4243.664062	82.229866	-16.8324
4274.415527	82.316544	-17.0651
4305.389648	82.403648	-17.4091
4336.588379	82.414894	-17.8995
4368.013184	82.404076	-18.4225
